game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto7,JP,2026-09-18,500,5,6,11,16,22,24,34,15,18
jp_loto7,JP,2026-09-11,499,3,13,24,26,30,31,36,23,34
jp_loto7,JP,2026-09-04,498,16,17,22,23,25,33,35,13,31
jp_loto7,JP,2026-08-28,497,7,9,15,18,20,28,31,21,34
jp_loto7,JP,2026-08-21,496,8,10,20,22,23,27,37,2,9
jp_loto7,JP,2026-08-14,495,3,10,14,17,18,20,25,19,34
jp_loto7,JP,2026-08-07,494,4,18,23,24,32,33,35,29,36
jp_loto7,JP,2026-07-31,493,4,21,25,28,30,35,37,12,16
jp_loto7,JP,2026-07-24,492,15,22,23,24,25,29,36,35,37
jp_loto7,JP,2026-07-17,491,1,3,16,18,32,34,35,2,15
jp_loto7,JP,2026-07-10,490,1,5,16,20,21,22,31,23,36
jp_loto7,JP,2026-07-03,489,8,14,17,19,20,32,36,21,25
jp_loto7,JP,2026-06-26,488,11,21,22,25,28,29,36,8,32
jp_loto7,JP,2026-06-19,487,11,14,17,23,28,30,36,12,20
jp_loto7,JP,2026-06-12,486,1,10,12,13,19,33,35,14,37
jp_loto7,JP,2026-06-05,485,9,10,22,26,27,31,36,20,29
jp_loto7,JP,2026-05-29,484,6,8,9,18,22,24,35,4,20
jp_loto7,JP,2026-05-22,483,2,6,12,15,24,26,34,18,20
jp_loto7,JP,2026-05-15,482,5,6,7,8,15,17,19,1,33
jp_loto7,JP,2026-05-08,481,2,6,15,19,20,22,27,31,33
jp_loto7,JP,2026-05-01,480,5,8,16,18,24,28,31,6,23
jp_loto7,JP,2026-04-24,479,1,6,7,9,12,22,26,8,14
jp_loto7,JP,2026-04-17,478,6,9,10,12,16,24,32,17,19
jp_loto7,JP,2026-04-10,477,7,11,15,16,17,24,33,6,9
jp_loto7,JP,2026-04-03,476,7,13,16,22,28,33,36,2,25
jp_loto7,JP,2026-03-27,475,3,4,9,10,18,21,37,15,23
jp_loto7,JP,2026-03-20,474,3,5,6,7,9,13,16,11,23
jp_loto7,JP,2026-03-13,473,1,8,11,14,18,22,29,19,35
jp_loto7,JP,2026-03-06,472,9,13,20,22,28,29,33,21,23
jp_loto7,JP,2026-02-27,471,2,17,18,22,23,25,33,16,34
jp_loto7,JP,2026-02-20,470,6,8,14,19,22,25,35,12,17
jp_loto7,JP,2026-02-13,469,3,6,8,14,21,22,31,17,37
jp_loto7,JP,2026-02-06,468,4,6,10,11,13,17,23,25,32
jp_loto7,JP,2026-01-30,467,4,14,15,21,22,24,37,5,20
jp_loto7,JP,2026-01-23,466,7,12,17,22,31,34,35,20,32
