game,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,supp_1,supp_2
Oz Lotto,2026-03-03,1672,5,7,18,21,33,39,47,14,26
Oz Lotto,2026-03-10,1673,12,16,17,33,34,41,42,23,24
Oz Lotto,2026-03-17,1674,2,6,18,24,25,45,47,3,10
Oz Lotto,2026-03-24,1675,6,9,22,24,25,27,34,1,14
Oz Lotto,2026-03-31,1676,8,17,18,31,35,43,44,6,29
Oz Lotto,2026-04-07,1677,3,10,17,20,24,37,39,12,22
Oz Lotto,2026-04-14,1678,2,5,19,25,30,36,39,13,40
