date,n1,n2,n3,n4,n5,n6,n7,powerball
2023-12-21,13,14,20,22,25,34,35,12
2023-12-14,2,4,6,8,18,22,30,2
2023-12-07,4,6,15,17,23,31,33,15
2023-11-30,1,2,11,19,23,30,34,4
2023-11-23,4,7,23,31,32,33,35,5
2023-11-16,1,7,8,11,29,31,32,16
2023-11-09,5,15,23,29,30,34,35,2
2023-11-02,6,8,11,12,22,23,30,15
2023-10-26,4,9,11,16,22,31,35,20
2023-10-19,1,3,4,6,7,24,26,18
2023-10-12,1,6,10,20,21,31,35,13
2023-10-05,3,4,8,11,14,19,22,5
2023-09-28,2,3,14,15,26,27,28,19
2023-09-21,4,10,12,13,18,20,23,5
2023-09-14,2,5,6,10,17,19,31,10
2023-09-07,11,14,18,20,24,27,29,19
2023-08-31,6,10,14,27,31,32,35,6
2023-08-24,3,8,11,17,18,20,33,7
2023-08-17,10,12,17,21,24,26,30,10
2023-08-10,9,10,11,16,18,23,24,9
2023-08-03,1,7,13,18,23,25,33,7
2023-07-27,4,14,16,18,19,22,33,18
2023-07-20,4,7,9,14,27,29,32,17
2023-07-13,3,11,17,19,27,29,30,15
2023-07-06,7,10,12,16,17,20,28,20
2023-06-29,1,3,5,8,18,24,28,2
2023-06-22,3,4,5,6,14,22,23,17
2023-06-15,2,9,11,13,20,25,31,2
2023-06-08,12,15,17,20,21,22,28,11
2023-06-01,6,14,19,23,28,31,34,3
2023-05-25,8,12,17,20,27,29,30,6
2023-05-18,3,6,7,11,19,20,33,18
2023-05-11,3,8,9,12,15,18,28,14
2023-05-04,2,13,18,20,31,34,35,9
2023-04-27,6,16,19,27,28,30,33,17
2023-04-20,1,12,13,18,24,30,32,6
2023-04-13,5,12,15,19,27,29,33,4
2023-04-06,6,12,17,21,24,30,33,10
2023-03-30,5,6,7,11,12,13,35,15
2023-03-23,4,5,7,18,19,25,26,15
2023-03-16,3,17,22,28,29,32,34,18
2023-03-09,7,10,17,20,27,30,33,1
2023-03-02,13,14,16,18,19,21,29,18
2023-02-23,3,5,6,11,24,26,30,9
2023-02-16,5,8,12,13,20,21,35,8
2023-02-09,3,8,11,16,28,32,35,13
2023-02-02,2,7,15,21,24,31,35,18
2023-01-26,1,15,21,28,30,31,33,16
2023-01-19,3,19,21,30,32,34,35,1
2023-01-12,3,10,18,22,29,30,34,5
2023-01-05,5,7,9,13,21,27,35,6
2022-12-29,4,6,9,22,23,24,26,18
2022-12-22,5,7,18,21,23,28,31,4
2022-12-15,1,7,19,21,22,26,34,2
2022-12-08,4,10,14,18,19,21,35,11
2022-12-01,2,4,5,7,8,29,34,15
2022-11-24,6,9,14,25,27,31,33,15
2022-11-17,1,5,6,7,14,19,33,17
2022-11-10,3,5,14,15,17,22,32,7
2022-11-03,2,6,8,12,22,24,32,2
2022-10-27,2,4,7,10,12,18,34,7
2022-10-20,6,11,14,17,24,25,33,18
2022-10-13,1,13,16,18,25,31,35,2
2022-10-06,3,4,6,14,17,28,35,10
2022-09-29,9,12,15,16,19,20,35,4
2022-09-22,10,15,21,24,26,28,35,8
2022-09-15,2,9,10,13,22,31,35,15
2022-09-08,13,15,21,23,25,30,31,10
2022-09-01,3,4,10,12,15,26,34,20
2022-08-25,4,8,12,16,25,31,32,17
2022-08-18,1,2,4,20,22,23,27,20
2022-08-11,5,9,18,22,23,28,30,3
2022-08-04,6,11,13,17,21,23,32,15
2022-07-28,5,9,10,19,23,24,34,13
2022-07-21,2,7,8,9,24,25,26,9
2022-07-14,1,6,17,20,26,33,35,5
2022-07-07,3,6,13,14,16,28,30,11
2022-06-30,1,6,11,16,17,22,29,2
2022-06-23,2,7,9,10,22,31,35,19
2022-06-16,3,6,12,15,18,28,29,15
2022-06-09,2,3,6,13,20,23,34,12
2022-06-02,6,8,11,15,21,31,33,7
2022-05-26,10,13,16,19,21,25,33,18
2022-05-19,5,8,11,15,27,28,34,3
2022-05-12,4,7,9,14,16,18,22,10
2022-05-05,2,12,16,17,26,30,35,19
2022-04-28,1,7,12,16,19,24,25,7
2022-04-21,15,17,19,22,25,28,29,6
2022-04-14,2,3,5,11,14,20,31,4
2022-04-07,3,5,7,10,15,30,34,12
2022-03-31,6,10,13,26,27,28,34,11
2022-03-24,4,5,9,21,23,28,32,20
2022-03-17,2,7,13,17,19,23,25,13
2022-03-10,5,13,15,16,19,29,35,16
2022-03-03,2,4,12,18,24,27,28,4
2022-02-24,6,9,15,27,28,32,33,8
2022-02-17,6,7,13,22,24,30,34,10
2022-02-10,3,5,16,19,26,31,32,6
2022-02-03,11,16,18,21,22,26,31,8
2022-01-27,4,10,15,25,27,28,32,18
2022-01-20,11,14,25,26,31,34,35,1
2022-01-13,2,9,13,24,28,29,33,13
2022-01-06,5,15,20,27,28,29,34,8
2021-12-30,16,18,19,23,26,32,35,10
2021-12-23,3,10,13,16,20,29,33,19
2021-12-16,3,18,25,30,32,33,34,6
2021-12-09,4,9,14,25,28,29,34,3
2021-12-02,4,5,19,26,27,30,33,8
2021-11-25,3,9,16,17,21,22,34,9
2021-11-18,1,3,5,8,13,19,34,11
2021-11-11,1,2,3,4,15,17,20,16
2021-11-04,8,12,15,18,27,30,34,8
2021-10-28,9,10,14,15,23,26,29,3
2021-10-21,2,7,11,17,27,28,30,11
2021-10-14,12,17,20,22,23,27,32,17
2021-10-07,4,13,18,25,27,29,34,13
2021-09-30,2,7,14,18,24,25,27,20
2021-09-23,3,8,10,14,21,23,24,5
2021-09-16,1,8,9,22,30,31,32,9
2021-09-09,2,3,6,8,17,20,23,2
2021-09-02,4,5,12,14,17,25,28,10
2021-08-26,10,11,14,25,27,28,32,6
2021-08-19,2,7,8,9,10,26,30,3
2021-08-12,4,10,17,19,21,23,26,7
2021-08-05,7,10,11,12,16,21,25,18
2021-07-29,4,7,22,23,26,33,35,17
2021-07-22,13,15,16,20,25,28,29,11
2021-07-15,3,11,16,17,25,26,32,2
2021-07-08,7,8,9,15,17,19,32,6
2021-07-01,11,13,16,17,18,19,20,15
2021-06-24,8,13,21,28,30,31,33,15
2021-06-17,4,10,12,13,20,26,34,1
2021-06-10,2,13,15,24,25,32,35,16
2021-06-03,1,11,12,14,17,19,28,11
2021-05-27,2,5,6,10,12,24,25,20
2021-05-20,2,5,7,8,11,14,18,19
2021-05-13,5,7,8,11,12,19,25,20
2021-05-06,10,14,16,21,23,25,34,9
2021-04-29,3,10,14,15,23,30,35,15
2021-04-22,10,17,19,21,26,31,35,1
2021-04-15,1,5,9,12,17,19,24,3
2021-04-08,3,4,12,13,14,21,24,6
2021-04-01,1,7,13,23,25,26,27,15
2021-03-25,10,12,14,15,16,21,25,5
2021-03-18,6,16,18,29,30,33,35,4
2021-03-11,1,8,14,17,19,21,26,20
2021-03-04,1,6,7,18,22,28,33,4
2021-02-25,11,17,19,20,23,25,33,3
2021-02-18,3,13,16,19,22,25,30,10
2021-02-11,1,7,16,20,26,29,32,14
2021-02-04,2,6,18,29,30,33,34,8
2021-01-28,6,10,12,13,16,20,30,11
2021-01-21,6,15,19,22,27,29,35,14
2021-01-14,1,2,17,20,26,27,31,14
2021-01-07,2,3,7,17,20,22,23,5
